Index,Fuel Type Code,Street Address,State,Latitude,Longitude
11261,ELEC,1700 S Lincoln Ave,PA,40.314267,-76.408065
11262,ELEC,South Ave & 3rd St,PA,40.208294,-76.842072
11263,ELEC,4564 Leatherwood Rd,TN,36.470898,-84.651393
11264,ELEC,Burwell at Park Ave,WA,47.56415,-122.630287
11265,ELEC,1402 Farragut Ave,WA,47.5501,-122.6401
11267,ELEC,Johnson Hall 113,WA,46.731746,-117.157928
11268,ELEC,5000 W National Ave,WI,43.019558,-87.976053
11269,ELEC,1 Teton Park Rd,WY,43.653353,-110.71854
11270,BD,Bldg 588,CA,32.710006,-117.203855
11271,BD,370 3rd St,HI,21.441724,-157.759048
11272,BD,3015 Catlin Ave,VA,38.513356,-77.306226
11273,LPG,25600 S Chrisman Rd,CA,37.724623,-121.398169
11274,ELEC,503 S Glover St,WA,48.362102,-120.121376
11275,ELEC,303 Hastings Rd,FL,29.874039,-81.32847
11276,ELEC,330 SW 12th Ave,FL,26.225386,-80.137459
11277,ELEC,3020 NW 19th St,FL,26.150855,-80.184498
11278,ELEC,4105 15th Ave SW,FL,26.2018,-81.688693
11279,ELEC,2425 Thompson St,FL,26.6421,-81.865276
11280,ELEC,2245 Murphy Ct,FL,27.07767,-82.161497
11281,ELEC,3301 Orange Ave,FL,27.446531,-80.359154
11282,ELEC,1025 Williamson Blvd,FL,29.242955,-81.101757
11283,ELEC,351 Colley Rd,FL,29.941375,-82.102525
11284,ELEC,2618 NE Bascom Norris Dr,FL,30.187942,-82.605374
11285,ELEC,56905 Griffen Rd,FL,30.611725,-81.736853
11286,ELEC,4233 Upthegrove Ln,FL,26.763911,-80.10438
11287,ELEC,300 N Polk Ave,FL,27.22036,-81.859702
11288,ELEC,5657 McIntosh Rd,FL,27.272173,-82.479777
11289,ELEC,5910 E Highway 100,FL,29.477334,-81.192473
11290,ELEC,15834 Winkler Rd,FL,26.511358,-81.899028
11291,ELEC,6050 NW 37th Ave,FL,25.829329,-80.258184
11292,ELEC,270 Pioneer Rd,FL,28.399012,-80.706816
11294,ELEC,825 NE 34th Ave,FL,27.248425,-80.793716
11295,ELEC,2900 Catherine St,FL,29.651269,-81.659622
11296,ELEC,2626 W State Rd 46,FL,28.811436,-81.339906
11297,ELEC,3925 SW 70th Ave,FL,25.734057,-80.307672
11298,ELEC,4401 NW 112th Ave,FL,26.17968974,-80.30011738
11299,ELEC,1050 SE Brandon Cir,FL,27.307386,-80.301858
11300,ELEC,1235 12th Ave E,FL,27.523707,-82.552416
11301,ELEC,425 Country Rd 204,FL,29.654894,-81.300169
11302,ELEC,2210 SW Hayworth Ave,FL,27.260954,-80.414925
